Albuquerque, NM|87101,87102,87103,87104,87105,87106,87107,87108,87109,87110,87111,87112,87113,87114,87115,87116,87117,87119,87120,87121,87122,87123,87124,87125,87131,87151,87153,87154,87158,87174,87176,87181,87184,87185,87187,87190,87191,87192,87193,87194,87195,87196,87197,87198,87199
Atlanta, GA|30301,30302,30303,30304,30305,30306,30307,30308,30309,30310,30311,30312,30313,30314,30315,30316,30317,30318,30319,30320,30321,30322,30324,30325,30326,30327,30328,30329,30331,30332,30333,30334,30336,30337,30338,30339,30340,30341,30342,30343,30344,30345,30346,30348,30349,30350,30353,30354,30355,30356,30357,30358,30359,30360,30361,30362,30363,30364,30366,30368,30369,30370,30371,30374,30375,30377,30378,30380,30384,30385,30388,30392,30394,30396,30398,31106,31107,31119,31126,31131,31136,31139,31141,31145,31146,31150,31156,31192,31193,31195,31196,39901
Austin, TX|73301,73344,78681,78701,78702,78703,78704,78705,78708,78709,78710,78711,78712,78713,78714,78715,78716,78717,78718,78719,78720,78721,78722,78723,78724,78725,78726,78727,78728,78729,78730,78731,78732,78733,78734,78735,78736,78737,78738,78739,78741,78742,78744,78745,78746,78747,78748,78749,78750,78751,78752,78753,78754,78755,78756,78757,78758,78759,78760,78761,78762,78763,78764,78765,78766,78767,78768,78772,78773,78774,78778,78779,78783,78799
Baltimore, MD|21201,21202,21203,21204,21205,21206,21207,21208,21209,21210,21211,21212,21213,21214,21215,21216,21217,21218,21219,21220,21221,21222,21223,21224,21225,21226,21227,21228,21229,21230,21231,21233,21234,21235,21236,21237,21239,21240,21241,21244,21250,21251,21252,21263,21264,21270,21273,21275,21278,21279,21281,21282,21284,21285,21286,21287,21289,21290,21297,21298
Boston, MA|02108,02109,02110,02111,02112,02113,02114,02115,02116,02117,02118,02119,02120,02121,02122,02123,02124,02125,02126,02127,02128,02129,02130,02131,02132,02133,02134,02135,02136,02137,02163,02196,02199,02201,02203,02204,02205,02206,02210,02211,02212,02215,02217,02222,02241,02266,02283,02284,02293,02297,02298
Charlotte, NC|28201,28202,28203,28204,28205,28206,28207,28208,28209,28210,28211,28212,28213,28214,28215,28216,28217,28218,28219,28220,28221,28222,28223,28224,28226,28227,28228,28229,28230,28231,28232,28233,28234,28235,28236,28237,28241,28242,28243,28244,28246,28247,28253,28254,28255,28256,28258,28260,28262,28263,28265,28266,28269,28270,28271,28272,28273,28274,28275,28277,28278,28280,28281,28282,28284,28285,28287,28288,28289,28290,28296,28297,28299
Chicago, IL|60601,60602,60603,60604,60605,60606,60607,60608,60609,60610,60611,60612,60613,60614,60615,60616,60617,60618,60619,60620,60621,60622,60623,60624,60625,60626,60628,60629,60630,60631,60632,60633,60634,60636,60637,60638,60639,60640,60641,60642,60643,60644,60645,60646,60647,60649,60651,60652,60653,60654,60655,60656,60657,60659,60660,60661,60664,60666,60668,60669,60670,60673,60674,60675,60677,60678,60680,60681,60682,60684,60685,60686,60687,60688,60689,60690,60691,60693,60694,60695,60696,60697,60699,60701,60706,60707,60803,60804,60805,60827
Cleveland, OH|44101,44102,44103,44104,44105,44106,44107,44108,44109,44110,44111,44112,44113,44114,44115,44116,44117,44118,44119,44120,44121,44122,44123,44124,44125,44126,44127,44128,44129,44130,44131,44132,44133,44134,44135,44136,44137,44138,44139,44140,44141,44142,44143,44144,44145,44146,44147,44181,44188,44190,44191,44192,44193,44194,44195,44197,44198,44199
Colorado Springs, CO|80901,80902,80903,80904,80905,80906,80907,80908,80909,80910,80911,80912,80913,80914,80915,80916,80917,80918,80919,80920,80921,80922,80923,80924,80925,80926,80927,80928,80929,80930,80931,80932,80933,80934,80935,80936,80937,80938,80939,80941,80942,80946,80947,80949,80950,80951,80960,80962,80970,80977,80995,80997
Columbus, OH|43085,43201,43202,43203,43204,43205,43206,43207,43209,43210,43211,43212,43213,43214,43215,43216,43217,43218,43219,43220,43221,43222,43223,43224,43226,43227,43228,43229,43230,43231,43232,43234,43235,43236,43240,43251,43260,43266,43268,43270,43271,43272,43279,43287,43291
